state_code,year,month,temperature
Alabama,1978,Jun,25.56
Alabama,1983,Jun,23.61
Alabama,1988,Jun,25.06
Alabama,1993,Jun,25.33
Alabama,1998,Jun,27.06
Alabama,2003,Jun,24.22
Alabama,2008,Jun,25.94
Alabama,2013,Jun,25.56
Alabama,2018,Jun,26.28
Alabama,2023,Jun,24.89
Vermont,1978,Jun,16.17
Vermont,1983,Jun,17.0
Vermont,1988,Jun,15.06
Vermont,1993,Jun,15.56
Vermont,1998,Jun,16.56
Vermont,2003,Jun,16.5
Vermont,2008,Jun,17.61
Vermont,2013,Jun,16.67
Vermont,2018,Jun,15.61
Vermont,2023,Jun,16.44
Alabama,1978,Jul,27.06
Alabama,1983,Jul,27.0
Alabama,1988,Jul,26.06
Alabama,1993,Jul,27.89
Alabama,1998,Jul,27.67
Alabama,2003,Jul,25.83
Alabama,2008,Jul,26.67
Alabama,2013,Jul,25.39
Alabama,2018,Jul,27.06
Alabama,2023,Jul,27.39
Vermont,1978,Jul,18.67
Vermont,1983,Jul,19.22
Vermont,1988,Jul,20.28
Vermont,1993,Jul,19.28
Vermont,1998,Jul,18.67
Vermont,2003,Jul,19.17
Vermont,2008,Jul,19.44
Vermont,2013,Jul,20.94
Vermont,2018,Jul,20.67
Vermont,2023,Jul,20.89
Alabama,1978,Aug,26.28
Alabama,1983,Aug,27.28
Alabama,1988,Aug,26.89
Alabama,1993,Aug,26.72
Alabama,1998,Aug,26.61
Alabama,2003,Aug,26.33
Alabama,2008,Aug,25.78
Alabama,2013,Aug,25.5
Alabama,2018,Aug,26.39
Alabama,2023,Aug,27.94
Vermont,1978,Aug,17.94
Vermont,1983,Aug,18.33
Vermont,1988,Aug,19.22
Vermont,1993,Aug,18.72
Vermont,1998,Aug,18.39
Vermont,2003,Aug,19.61
Vermont,2008,Aug,17.28
Vermont,2013,Aug,17.83
Vermont,2018,Aug,20.22
Vermont,2023,Aug,17.72
Alabama,1978,Sep,24.94
Alabama,1983,Sep,22.22
Alabama,1988,Sep,23.61
Alabama,1993,Sep,23.33
Alabama,1998,Sep,25.22
Alabama,2003,Sep,22.83
Alabama,2008,Sep,23.61
Alabama,2013,Sep,23.89
Alabama,2018,Sep,26.33
Alabama,2023,Sep,24.33
Vermont,1978,Sep,11.22
Vermont,1983,Sep,14.83
Vermont,1988,Sep,12.33
Vermont,1993,Sep,12.94
Vermont,1998,Sep,14.33
Vermont,2003,Sep,14.67
Vermont,2008,Sep,14.72
Vermont,2013,Sep,13.61
Vermont,2018,Sep,15.89
Vermont,2023,Sep,16.06
Alabama,1978,Oct,16.78
Alabama,1983,Oct,17.78
Alabama,1988,Oct,15.11
Alabama,1993,Oct,17.11
Alabama,1998,Oct,19.33
Alabama,2003,Oct,17.5
Alabama,2008,Oct,16.78
Alabama,2013,Oct,18.28
Alabama,2018,Oct,19.67
Alabama,2023,Oct,18.44
Vermont,1978,Oct,6.28
Vermont,1983,Oct,7.22
Vermont,1988,Oct,5.33
Vermont,1993,Oct,5.83
Vermont,1998,Oct,8.17
Vermont,2003,Oct,6.72
Vermont,2008,Oct,6.72
Vermont,2013,Oct,8.78
Vermont,2018,Oct,6.94
Vermont,2023,Oct,10.89
Alabama,1978,Nov,15.11
Alabama,1983,Nov,11.78
Alabama,1988,Nov,13.61
Alabama,1993,Nov,10.94
Alabama,1998,Nov,14.39
Alabama,2003,Nov,14.56
Alabama,2008,Nov,10.56
Alabama,2013,Nov,10.89
Alabama,2018,Nov,10.22
Alabama,2023,Nov,
Vermont,1978,Nov,0.39
Vermont,1983,Nov,1.39
Vermont,1988,Nov,1.61
Vermont,1993,Nov,0.83
Vermont,1998,Nov,1.94
Vermont,2003,Nov,2.5
Vermont,2008,Nov,1.5
Vermont,2013,Nov,-0.11
Vermont,2018,Nov,-1.11
Vermont,2023,Nov,
Alabama,1978,Dec,8.11
Alabama,1983,Dec,5.44
Alabama,1988,Dec,8.22
Alabama,1993,Dec,7.39
Alabama,1998,Dec,10.78
Alabama,2003,Dec,6.67
Alabama,2008,Dec,9.83
Alabama,2013,Dec,8.83
Alabama,2018,Dec,9.44
Alabama,2023,Dec,
Vermont,1978,Dec,-6.0
Vermont,1983,Dec,-7.39
Vermont,1988,Dec,-7.22
Vermont,1993,Dec,-5.72
Vermont,1998,Dec,-1.56
Vermont,2003,Dec,-5.67
Vermont,2008,Dec,-5.06
Vermont,2013,Dec,-5.89
Vermont,2018,Dec,-5.0
Vermont,2023,Dec,
